rank,model,exp,config,hierarchical_f1_mean,hierarchical_f1_std,accuracy_mean,accuracy_std,top_accuracy_mean,macro_accuracy_mean
184,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,80.08,0.33,81.37,0.3,90.19,75.99
185,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,80.06,0.79,81.44,0.46,89.96,75.84
186,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,80.05,0.34,81.63,0.22,90.13,75.69
187,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,80.05,0.67,81.27,0.51,89.81,76.19
188,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.04,0.35,81.51,0.39,89.91,76.06
189,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,80.03,0.51,81.68,0.52,89.83,76.12
190,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,80.03,0.72,81.3,0.48,90.0,76.05
191,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,80.02,0.6,81.31,0.56,89.94,75.93
192,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,80.02,1.24,81.55,0.51,90.06,75.8
193,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,80.01,0.68,81.44,0.44,89.64,76.08
194,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,80.01,0.83,81.74,0.52,90.12,75.83
195,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,80.0,0.16,81.48,0.23,90.24,75.57
196,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,80.0,0.73,80.96,0.74,89.81,76.06
197,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.99,0.55,81.61,0.56,90.17,75.74
198,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,79.98,0.41,81.2,0.49,89.72,76.01
199,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.97,0.58,81.4,0.33,89.89,76.11
200,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.96,0.72,81.53,0.49,89.89,75.45
201,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.96,0.61,81.5,0.47,89.78,75.77
202,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,79.94,0.3,81.39,0.21,89.9,75.8
203,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.94,0.92,81.47,0.42,90.08,75.73
204,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,79.92,0.27,80.89,0.33,89.67,76.19
205,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,79.92,0.51,80.94,0.52,89.89,75.64
206,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.92,0.59,81.13,0.4,89.91,75.61
207,clap_music_as_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.92,0.42,81.63,0.25,90.35,75.18
208,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.91,0.34,81.37,0.22,89.93,75.89
209,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.91,0.65,81.3,0.46,89.69,75.81
210,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.91,1.01,81.81,0.42,89.95,75.88
211,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.9,0.61,81.41,0.2,89.79,75.79
212,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.89,0.74,81.51,0.61,90.12,75.83
213,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,79.89,0.3,81.48,0.19,89.96,75.82
214,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,79.89,0.79,80.99,0.79,89.53,76.27
215,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.89,0.38,81.17,0.2,89.73,76.0
216,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.88,0.28,81.13,0.23,89.75,76.02
217,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.88,0.72,81.07,0.68,89.64,76.05
218,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.88,0.47,81.31,0.54,89.78,75.83
219,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,79.88,0.52,81.74,0.39,89.59,75.98
220,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.87,0.51,81.04,0.45,89.75,75.61
221,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.86,0.72,81.42,0.32,89.73,75.79
222,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_grand_40_filter2_conf1,79.86,0.61,81.56,0.38,89.76,76.0
223,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,79.86,0.74,81.33,0.54,89.76,75.89
224,clap_music_as_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.84,0.62,81.6,0.51,89.87,75.51
225,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.83,0.82,81.38,0.66,89.91,75.59
226,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,79.83,0.41,81.27,0.46,89.51,76.19
227,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.82,0.67,81.38,0.46,89.83,75.8
228,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,79.82,0.93,81.72,0.57,85.51,75.86
229,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,79.8,0.44,81.01,0.39,89.57,75.96
230,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.8,0.33,81.49,0.47,89.87,75.85
231,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_conf1,79.79,0.59,81.28,0.56,89.92,75.32
232,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.78,0.46,81.11,0.38,89.63,76.0
233,clap_630k_chunk_meanmax,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.78,1.38,81.53,0.51,89.86,75.49
234,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.78,0.64,81.46,0.63,90.23,75.67
235,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.77,0.54,81.35,0.53,89.83,75.77
236,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.77,0.62,81.47,0.65,89.86,75.82
237,baseline,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.76,0.99,81.39,0.49,90.13,75.5
238,fpasst_weak_seq_meanmax_chunk_maxstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.76,0.62,81.3,0.48,89.85,75.54
239,m2d_clap_vit_base_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.76,1.44,81.72,0.6,85.54,75.64
240,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.74,0.61,81.24,0.49,89.57,75.44
241,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,79.73,0.69,81.41,0.33,89.84,75.69
242,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.72,0.78,81.3,0.65,89.75,75.19
243,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.71,0.73,81.2,0.39,89.64,75.74
244,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.7,0.23,81.3,0.18,89.53,76.03
245,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.7,0.61,81.38,0.36,89.87,75.17
246,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,79.69,0.59,81.3,0.47,89.95,75.37
247,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,79.67,0.72,81.27,0.5,89.95,75.5
248,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.67,0.57,80.76,0.38,89.54,75.88
249,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_hf1_filter1_el2n_40_filter2_conf1,79.63,0.43,81.31,0.33,89.88,75.18
250,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_union_filter2_no_conf1,79.63,0.38,81.21,0.35,89.65,75.78
251,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.63,0.32,81.25,0.18,89.74,75.41
252,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_no_conf1,79.59,0.68,81.69,0.48,89.9,75.53
253,beats_iter3plus_as2m_seq_meanmaxstd_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.58,0.99,81.38,0.62,89.8,75.27
254,clap_music_as_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.57,0.67,81.67,0.57,89.93,75.34
255,clap_630k_chunk_meanmax,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.54,1.26,81.33,0.67,89.51,75.42
256,passt_kd_ap486_chunk_max,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.52,1.23,81.54,0.76,89.78,75.49
257,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_el2n_40_filter2_conf1,79.51,1.05,81.09,0.63,89.69,75.63
258,passt_kd_ap486_chunk_max,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,79.43,1.44,81.51,0.57,90.21,75.42
259,baseline,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.41,0.8,81.24,0.46,89.81,75.0
260,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,79.37,1.17,80.99,0.6,89.55,75.37
261,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_hf1_filter1_intersection_filter2_no_conf1,79.34,0.82,80.58,0.64,89.32,75.75
262,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.31,0.64,81.11,0.44,89.64,74.73
263,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_no_conf1,79.27,0.87,81.02,0.63,89.72,74.97
264,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_conf1,79.22,0.9,80.63,0.71,89.62,74.98
265,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_ce_cosine_hf1_filter1_grand_40_filter2_conf1,79.18,0.62,80.53,0.56,89.39,75.22
266,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp2_proxy,pre_proxy_simple_ft_ce_cosine_hf1_filter1_union_filter2_no_conf1,79.15,0.38,80.53,0.32,89.33,75.15
267,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_h_loss_proxy_simple_cosine_hf1_filter_30_filter1_grand_40_filter2_no_conf1,79.14,0.6,80.67,0.47,89.28,74.83
268,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_union_filter2_conf1,78.99,1.61,80.95,0.78,89.58,74.67
269,atst_weak_seq_maxstd_chunk_meanstd,two_stage_exp2_proxy,pre_proxy_simple_ft_focal_cosine_accuracy_filter1_intersection_filter2_no_conf1,78.74,1.39,80.6,1.07,89.74,74.25
270,beats_iter3plus_as2m_ft1_seq_meanstd_chunk_mean,two_stage_exp1_hloss,pre_h_loss_proxy_simple_ft_focal_cosine_accuracy_filter1_grand_40_filter2_conf1,78.22,0.63,80.05,0.46,88.87,74.39
